target_idx,target_date,target_title,similar_idx,similar_date,similar_title,similarity
0,2015/01/19,新竹縣油羅溪尖石公、尖石母，露全貌,5,2010/09/13,盛「礦」重現，復興煤礦拚觀光,0.6611274139616514
0,2015/01/19,新竹縣油羅溪尖石公、尖石母，露全貌,1,2010/04/05,水田部落秘圳47年後「再發現」,0.5343614796898901
0,2015/01/19,新竹縣油羅溪尖石公、尖石母，露全貌,4,2011/10/04,賽夏族朝聖之旅，靈異「撞」況多,0.46013484919691816
0,2015/01/19,新竹縣油羅溪尖石公、尖石母，露全貌,6,2015/01/23,泰雅族的遷徙故事，司馬庫斯鮮讀,0.40892163180135066
0,2015/01/19,新竹縣油羅溪尖石公、尖石母，露全貌,7,2014/07/12,司馬庫斯護林，青壯守夜,0.4070801745720233
1,2010/04/05,水田部落秘圳47年後「再發現」,4,2011/10/04,賽夏族朝聖之旅，靈異「撞」況多,0.8521781877726581
1,2010/04/05,水田部落秘圳47年後「再發現」,11,2009/03/12,桃花舞春風，鎮西堡迎賓,0.7125937850140659
1,2010/04/05,水田部落秘圳47年後「再發現」,5,2010/09/13,盛「礦」重現，復興煤礦拚觀光,0.6329606045679164
1,2010/04/05,水田部落秘圳47年後「再發現」,3,2011/07/17,泰雅人尋根，翻山越嶺返聖地,0.5515144522569833
1,2010/04/05,水田部落秘圳47年後「再發現」,12,2009/08/07,防損，部落急忙採收小米,0.5494387657106538
2,2014/12/14,黑暗部落成最賺錢部落，司馬庫斯創造觀光奇蹟,3,2011/07/17,泰雅人尋根，翻山越嶺返聖地,0.8558817728428083
2,2014/12/14,黑暗部落成最賺錢部落，司馬庫斯創造觀光奇蹟,7,2014/07/12,司馬庫斯護林，青壯守夜,0.6865991170485681
2,2014/12/14,黑暗部落成最賺錢部落，司馬庫斯創造觀光奇蹟,12,2009/08/07,防損，部落急忙採收小米,0.6316306692906695
2,2014/12/14,黑暗部落成最賺錢部落，司馬庫斯創造觀光奇蹟,6,2015/01/23,泰雅族的遷徙故事，司馬庫斯鮮讀,0.5837184383792745
2,2014/12/14,黑暗部落成最賺錢部落，司馬庫斯創造觀光奇蹟,8,2014/11/19,尖石新地標，玉峰大橋修好了,0.5557474589062404
3,2011/07/17,泰雅人尋根，翻山越嶺返聖地,2,2014/12/14,黑暗部落成最賺錢部落，司馬庫斯創造觀光奇蹟,0.8558817728428083
3,2011/07/17,泰雅人尋根，翻山越嶺返聖地,11,2009/03/12,桃花舞春風，鎮西堡迎賓,0.6916122423176095
3,2011/07/17,泰雅人尋根，翻山越嶺返聖地,12,2009/08/07,防損，部落急忙採收小米,0.6853564962328792
3,2011/07/17,泰雅人尋根，翻山越嶺返聖地,8,2014/11/19,尖石新地標，玉峰大橋修好了,0.6532586638395343
3,2011/07/17,泰雅人尋根，翻山越嶺返聖地,5,2010/09/13,盛「礦」重現，復興煤礦拚觀光,0.5610777928486205
4,2011/10/04,賽夏族朝聖之旅，靈異「撞」況多,1,2010/04/05,水田部落秘圳47年後「再發現」,0.8521781877726581
4,2011/10/04,賽夏族朝聖之旅，靈異「撞」況多,14,2012/12/10,疑會車熄火到退嚕…巴士墜谷，13死10傷,0.693338837869083
4,2011/10/04,賽夏族朝聖之旅，靈異「撞」況多,10,2012/11/08,把鄰人看成豬打獵打死人,0.5875913345501153
4,2011/10/04,賽夏族朝聖之旅，靈異「撞」況多,0,2015/01/19,新竹縣油羅溪尖石公、尖石母，露全貌,0.46013484919691816
4,2011/10/04,賽夏族朝聖之旅，靈異「撞」況多,13,2009/01/16,新竹尖石最後一人，泰雅紋面人瑞辭世,0.4588907759554094
5,2010/09/13,盛「礦」重現，復興煤礦拚觀光,0,2015/01/19,新竹縣油羅溪尖石公、尖石母，露全貌,0.6611274139616514
5,2010/09/13,盛「礦」重現，復興煤礦拚觀光,1,2010/04/05,水田部落秘圳47年後「再發現」,0.6329606045679164
5,2010/09/13,盛「礦」重現，復興煤礦拚觀光,3,2011/07/17,泰雅人尋根，翻山越嶺返聖地,0.5610777928486205
5,2010/09/13,盛「礦」重現，復興煤礦拚觀光,11,2009/03/12,桃花舞春風，鎮西堡迎賓,0.5080652691980552
5,2010/09/13,盛「礦」重現，復興煤礦拚觀光,4,2011/10/04,賽夏族朝聖之旅，靈異「撞」況多,0.3852216364229517
6,2015/01/23,泰雅族的遷徙故事，司馬庫斯鮮讀,7,2014/07/12,司馬庫斯護林，青壯守夜,0.9350489148367466
6,2015/01/23,泰雅族的遷徙故事，司馬庫斯鮮讀,2,2014/12/14,黑暗部落成最賺錢部落，司馬庫斯創造觀光奇蹟,0.5837184383792745
6,2015/01/23,泰雅族的遷徙故事，司馬庫斯鮮讀,3,2011/07/17,泰雅人尋根，翻山越嶺返聖地,0.4639477991395564
6,2015/01/23,泰雅族的遷徙故事，司馬庫斯鮮讀,0,2015/01/19,新竹縣油羅溪尖石公、尖石母，露全貌,0.40892163180135066
6,2015/01/23,泰雅族的遷徙故事，司馬庫斯鮮讀,13,2009/01/16,新竹尖石最後一人，泰雅紋面人瑞辭世,0.3077820073561168
7,2014/07/12,司馬庫斯護林，青壯守夜,6,2015/01/23,泰雅族的遷徙故事，司馬庫斯鮮讀,0.9350489148367466
7,2014/07/12,司馬庫斯護林，青壯守夜,2,2014/12/14,黑暗部落成最賺錢部落，司馬庫斯創造觀光奇蹟,0.6865991170485681
7,2014/07/12,司馬庫斯護林，青壯守夜,3,2011/07/17,泰雅人尋根，翻山越嶺返聖地,0.5182668814205201
7,2014/07/12,司馬庫斯護林，青壯守夜,0,2015/01/19,新竹縣油羅溪尖石公、尖石母，露全貌,0.4070801745720233
